NAME,PRICE,CUSINE_CATEGORY,CITY,REGION,URL,PAGE NO,CUSINE TYPE,TIMING,RATING_TYPE,RATING,VOTES,city
Doon Memories Bakers & Cafe,250,Bakery,Dehradun,Paltan Bazaar,https://www.zomato.com/dehradun/doon-memories-bakers-cafe-paltan-bazaar/info,25,Bakery,830am to 930pm(Mon-Sun),Average,3.1,6,Dehradun
ChaiWay,100,"Beverages,Fast Food",Dehradun,Jakhan,https://www.zomato.com/dehradun/chaiway-jakhan/info,25,Quick Bites,9am to 930pm(Mon-Sun),Average,3.1,7,Dehradun
Reema's Recipe,200,"North Indian,Biryani,Bakery",Dehradun,Dharampur,https://www.zomato.com/dehradun/reemas-recipe-dharampur/info,25,none,"Closed(Mon-Thu),12noon to 9pm(Fri-Sun)",Not rated,-,-,Dehradun
Hotel Sukoon,350,"Indian,Chinese",Dehradun,Karanpur,https://www.zomato.com/dehradun/hotel-sukoon-5-karanpur/info,25,Casual Dining,"8am to 1030am,130pm to 1030pm(Mon-Sun)",Average,3.3,8,Dehradun
Bake'in,500,"Bakery,Fast Food",Dehradun,Balliwala,https://www.zomato.com/dehradun/bakein-balliwala/info,25,Bakery,10am to 10pm(Mon-Sun),Average,2.8,6,Dehradun
Eat Cake,200,Bakery,Dehradun,Race Course,https://www.zomato.com/dehradun/eat-cake-race-course/info,25,none,10am to 6pm(Mon-Sun),Average,3.2,7,Dehradun
Brij Sweets,200,"Street Food,Mithai",Dehradun,Garhi Cantt,https://www.zomato.com/dehradun/brij-sweets-garhi-cantt/info,25,Sweet Shop,830am to 1030pm(Mon-Sun),Average,3.2,7,Dehradun
NS Kathi Roll,350,"Fast Food,South Indian",Dehradun,Chukkuwala,https://www.zomato.com/dehradun/ns-kathi-roll-chukkuwala/info,25,Quick Bites,8am to 10pm(Mon-Sun),Not rated,-,-,Dehradun
Hwaz Khas,400,Cafe,Dehradun,Balliwala,https://www.zomato.com/dehradun/hwaz-khas-balliwala/info,26,Quick Bites,10am to 10pm(Mon-Sun),Average,2.9,7,Dehradun
Cafe A Square,500,Cafe,Dehradun,Prem Nagar,https://www.zomato.com/dehradun/cafe-a-square-prem-nagar/info,26,Café,10am to 930pm(Mon-Sun),Average,2.9,5,Dehradun
The Bliss House Cafe,400,"North Indian,Chinese",Dehradun,Malsi,https://www.zomato.com/dehradun/the-bliss-house-cafe-malsi/info,26,Quick Bites,10am to 10pm(Mon-Sun),Average,3.1,5,Dehradun
Globe Bakers,200,Bakery,Dehradun,Race Course,https://www.zomato.com/dehradun/globe-bakers-race-course/info,26,Bakery,6am to 10pm(Mon-Sun),Average,3.2,5,Dehradun
Amritsari Hatti,100,North Indian,Dehradun,Paltan Bazaar,https://www.zomato.com/dehradun/amritsari-hatti-paltan-bazaar/info,26,Quick Bites,10am to 10pm(Mon-Sun),,NEW,NEW,Dehradun
Ten 2 Three,150,"Fast Food,Chinese",Dehradun,Jakhan,https://www.zomato.com/dehradun/ten-2-three-jakhan/info,26,Quick Bites,,Average,3.3,10,Dehradun
Farm to Fork Cafe,550,"Cafe,Indian,Chinese,Continental,Mexican",Dehradun,Malsi,https://www.zomato.com/dehradun/farm-to-fork-cafe-malsi/info,26,Café,"6am to 3am(Mon,Wed,Thu,Fri,Sat,Sun),Closed...",Good,3.7,54,Dehradun
Full-Full Desi,450,"North Indian,Biryani",Dehradun,Crossroads Mall-- Karanpur,https://www.zomato.com/dehradun/full-full-desi-karanpur/info,26,Food Court,11am to 10pm(Mon-Sun),Not rated,-,-,Dehradun
Doon Vegetarian,200,"North Indian,Chinese",Dehradun,Jakhan,https://www.zomato.com/dehradun/doon-vegetarian-jakhan/info,26,Quick Bites,8am to 10pm(Mon-Sun),Average,3.0,7,Dehradun
Golden Spoon,250,North Indian,Dehradun,Morowala,https://www.zomato.com/dehradun/golden-spoon-morowala/info,26,Quick Bites,11am to 10pm(Mon-Sun),Not rated,-,-,Dehradun
Saini’s Fast Food Restaurant,150,"Fast Food,South Indian",Dehradun,Kaonli,https://www.zomato.com/dehradun/sainis-fast-food-restaurant-kaonli/info,26,Quick Bites,7am to 930pm(Mon-Sun),Average,3.0,9,Dehradun
Hangout,200,"Ice Cream,Desserts,Beverages",Dehradun,Subhash Nagar,https://www.zomato.com/dehradun/hangout-subhash-nagar/info,26,Dessert Parlor,11am to 9pm(Mon-Sun),Average,2.8,5,Dehradun
Food Junction,500,"Chinese,North Indian",Dehradun,Malsi,https://www.zomato.com/dehradun/food-junction-malsi/info,26,Quick Bites,8am to 10pm(Mon-Sun),Not rated,-,-,Dehradun
Potala Foods,300,"Fast Food,Chinese",Dehradun,Balliwala,https://www.zomato.com/dehradun/potala-foods-balliwala/info,26,Quick Bites,11am to 10pm(Mon-Sun),Average,3.1,7,Dehradun
Lazeez Restaurant,1200,"Mughlai,Chinese,Continental",Dehradun,Hathibarkala Salwala,https://www.zomato.com/dehradun/lazeez-restaurant-hathibarkala-salwala/info,26,Casual Dining,7am to 1030pm(Mon-Sun),Average,3.0,5,Dehradun
Janta Bakers,250,"Fast Food,Desserts,Bakery",Dehradun,Chukkuwala,https://www.zomato.com/dehradun/janta-bakers-1-chukkuwala/info,27,Dessert Parlor,8am to 10pm(Mon-Sun),Average,3.0,4,Dehradun
Aroma,250,"North Indian,Chinese",Dehradun,Garhi Cantt,https://www.zomato.com/dehradun/aroma-garhi-cantt/info,27,Quick Bites,11am to 1030pm(Mon-Sun),Not rated,-,-,Dehradun
Bakery Wala,250,Bakery,Dehradun,Chironwali,https://www.zomato.com/dehradun/bakery-wala-chironwali/info,27,Quick Bites,8am to 10pm(Mon-Sun),Average,2.8,4,Dehradun
Basant Restaurant,100,Fast Food,Dehradun,Paltan Bazaar,https://www.zomato.com/dehradun/basant-restaurant-paltan-bazaar/info,27,Quick Bites,7am to 9pm(Mon-Sun),Average,2.9,4,Dehradun
Deep Flames Family Restaurant,350,"North Indian,Chinese",Dehradun,Majra,https://www.zomato.com/dehradun/deep-flames-family-restaurant-majra/info,27,Quick Bites,12noon to 10pm(Mon-Sun),,NEW,NEW,Dehradun
Veranda - Hotel JSR Continental,600,"South Indian,North Indian,Continental",Dehradun,Dharampur,https://www.zomato.com/dehradun/veranda-hotel-jsr-continental-dharampur/info,27,Quick Bites,11am to 1030pm(Mon-Sun),Not rated,-,-,Dehradun
Shyam Sweets,250,"Mithai,Chinese,South Indian",Dehradun,Race Course,https://www.zomato.com/dehradun/shyam-sweets-race-course/info,27,Sweet Shop,6am to 10pm(Mon-Sun),Not rated,-,-,Dehradun
Kathi Roll Paradise,450,"Rolls,Fast Food",Dehradun,Axiom Mall-- Jakhan,https://www.zomato.com/dehradun/kathi-roll-paradise-jakhan/info,27,Quick Bites,(Mon-Sun),,NEW,NEW,Dehradun
Vinkuz Restaurant,200,North Indian,Dehradun,Subhash Nagar,https://www.zomato.com/dehradun/vinkuz-restaurant-subhash-nagar/info,27,Quick Bites,11am to 10pm(Mon-Sun),Not rated,-,-,Dehradun
Jaina Vegetarian,300,North Indian,Dehradun,Chukkuwala,https://www.zomato.com/dehradun/jaina-vegetarian-chukkuwala/info,27,none,(Mon-Sun),,NEW,NEW,Dehradun
Beertales,1400,"North Indian,Italian,Mexican,Thai",Dehradun,Hathibarkala Salwala,https://www.zomato.com/dehradun/beertales-hathibarkala-salwala/info,27,Pub,(Mon-Sun),,NEW,NEW,Dehradun
Binny's Quiznos,300,Fast Food,Dehradun,Rajpur,https://www.zomato.com/dehradun/binnys-quiznos-rajpur/info,27,Quick Bites,11am to 840pm(Mon-Sun),Average,2.9,4,Dehradun
Chauhan Restaurant,250,North Indian,Dehradun,Race Course,https://www.zomato.com/dehradun/chauhan-restaurant-race-course/info,27,Casual Dining,"8am to 330pm,430pm to 1030pm(Mon-Sun)",Average,3.0,4,Dehradun
New Abhinandan Restaurant & Sweets,400,"Fast Food,Mithai",Dehradun,Balliwala,https://www.zomato.com/dehradun/new-abhinandan-restaurant-sweets-balliwala/info,27,Quick Bites,10am to 10pm(Mon-Sun),Average,2.9,4,Dehradun
Deepu Mukhwas,200,Desserts,Dehradun,Jakhan,https://www.zomato.com/dehradun/deepu-mukhwas-jakhan/info,27,Confectionery,10am to 10pm(Mon-Sun),Average,3.0,4,Dehradun
Clock Tower Cafe,200,North Indian,Dehradun,Paltan Bazaar,https://www.zomato.com/dehradun/clock-tower-cafe-paltan-bazaar/info,28,none,(Mon-Sun),,NEW,NEW,Dehradun
Shri Ji Food,250,Fast Food,Dehradun,Morowala,https://www.zomato.com/dehradun/shri-ji-food-morowala/info,28,Quick Bites,11am to 10pm(Mon-Sun),Not rated,-,-,Dehradun
Blu Flames-Hotel The Golden Oyster,1000,"North Indian,Chinese,Continental",Dehradun,Majra,https://www.zomato.com/dehradun/blu-flames-hotel-the-golden-oyster-majra/info,28,Casual Dining,730am to 1030pm(Mon-Sun),Not rated,-,-,Dehradun
Duck Chick Restaurant,500,"North Indian,Chinese",Dehradun,Garhi Cantt,https://www.zomato.com/dehradun/duck-chick-restaurant-garhi-cantt/info,28,Quick Bites,10am to 10pm(Mon-Sun),Average,3.1,4,Dehradun
Sip with Bite,300,"North Indian,Chinese",Dehradun,Subhash Nagar,https://www.zomato.com/dehradun/sip-with-bite-subhash-nagar/info,28,Quick Bites,8am to 10pm(Mon-Sun),Average,3.1,5,Dehradun
Standard Bakers & Fast Food,300,"Desserts,Bakery",Dehradun,Balliwala,https://www.zomato.com/dehradun/standard-bakers-fast-food-balliwala/info,28,Quick Bites,9am to 10pm(Mon-Sun),Average,3.0,5,Dehradun
Hotel Grand Legacy Restaurant,500,"North Indian,Chinese,Biryani",Dehradun,Kaonli,https://www.zomato.com/dehradun/hotel-grand-legacy-restaurant-kaonli/info,28,Casual Dining,8am to 1030pm(Mon-Sun),Not rated,-,-,Dehradun
Diet Calling Cafe - Fitness Solution,200,Healthy Food,Dehradun,Laxman Chowk,https://www.zomato.com/dehradun/diet-calling-cafe-fitness-solution-laxman-chowk/info,28,none,(Mon-Sun),,NEW,NEW,Dehradun
Hungry Home Cafe,450,"Fast Food,Beverages,Cafe Food,Burger,Indian,Tea",Dehradun,Garhi Cantt,https://www.zomato.com/dehradun/hungry-home-cafe-garhi-cantt/info,28,Quick Bites,12noon to 10pm(Mon-Sun),Not rated,-,-,Dehradun
Darjeeling Restaurant,300,"North Indian,Chinese",Dehradun,Garhi Cantt,https://www.zomato.com/dehradun/darjeeling-restaurant-garhi-cantt/info,28,Quick Bites,10am to 10pm(Mon-Sun),Average,2.9,5,Dehradun
Keventers,400,"Beverages,Ice Cream,Desserts",Dehradun,Karanpur,https://www.zomato.com/dehradun/keventers-karanpur/info,28,Beverage Shop,11am to 11pm(Mon-Sun),Good,3.9,34,Dehradun
Baker's & Cafe,250,"Desserts,Bakery",Dehradun,Chukkuwala,https://www.zomato.com/dehradun/bakers-cafe-chukkuwala/info,28,Bakery,930am to 9pm(Mon-Sun),Not rated,-,-,Dehradun
Pooja Chaat And Fast Food Corner,300,Fast Food,Dehradun,Paltan Bazaar,https://www.zomato.com/dehradun/pooja-chaat-and-fast-food-corner-paltan-bazaar/info,28,Quick Bites,10am to 10pm(Mon-Sun),Average,3.1,6,Dehradun
Chinese By Punjabi's,200,"Chinese,North Indian",Dehradun,Majra,https://www.zomato.com/dehradun/chinese-by-punjabis-1-majra/info,28,Quick Bites,10am to 11pm(Mon-Sun),,NEW,NEW,Dehradun
The Second Home,300,"North Indian,Chinese",Dehradun,Garhi Cantt,https://www.zomato.com/dehradun/the-second-home-garhi-cantt/info,28,Quick Bites,11am to 1030pm(Mon-Sun),Not rated,-,-,Dehradun
Hungry Jax,250,"Fast Food,Italian",Dehradun,Crossroads Mall-- Karanpur,https://www.zomato.com/dehradun/hungry-jax-karanpur/info,29,Food Court,1130am to 930pm(Mon-Sun),Average,2.9,5,Dehradun
Street Surfer,250,Fast Food,Dehradun,Malsi,https://www.zomato.com/dehradun/street-surfer-malsi/info,29,Quick Bites,2pm to 10pm(Mon-Sun),Average,3.1,5,Dehradun
Bakes & Cooke's,800,Bakery,Dehradun,Subhash Nagar,https://www.zomato.com/dehradun/bakes-cookes-subhash-nagar/info,29,Bakery,10am to 10pm(Mon-Sun),Average,3.1,5,Dehradun
Mahawar Bakers And Sweets,300,"North Indian,South Indian,Chinese",Dehradun,Dharampur,https://www.zomato.com/dehradun/mahawar-bakers-and-sweets-1-dharampur/info,29,Quick Bites,9am to 9pm(Mon-Sun),Average,2.9,4,Dehradun
Oberoi's,400,"North Indian,Chinese",Dehradun,Race Course,https://www.zomato.com/dehradun/oberois-race-course/info,29,Casual Dining,8am to 1030pm(Mon-Sun),Not rated,-,-,Dehradun
Ammy’s Kitchen,300,"North Indian,Mughlai,Chinese",Dehradun,Prem Nagar,https://www.zomato.com/dehradun/ammys-kitchen-prem-nagar/info,29,Casual Dining,9am to 9pm(Mon-Sun),Average,3.0,4,Dehradun
The Charcoal Grill,200,"Fast Food,North Indian",Dehradun,Rajpur,https://www.zomato.com/dehradun/the-charcoal-grill-rajpur/info,29,Quick Bites,12noon to 1030pm(Mon-Sun),Not rated,-,-,Dehradun
Pizza Italia,200,"Pizza,Italian",Dehradun,Subhash Nagar,https://www.zomato.com/dehradun/pizza-italia-1-subhash-nagar/info,29,Quick Bites,11am to 11pm(Mon-Sun),Good,3.7,21,Dehradun
Goli Vada Pav No.1,100,Street Food,Dehradun,Paltan Bazaar,https://www.zomato.com/dehradun/goli-vada-pav-no-1-paltan-bazaar/info,29,Quick Bites,1030am to 930pm(Mon-Sun),Not rated,-,-,Dehradun
D's Chicken Licken,300,North Indian,Dehradun,Race Course,https://www.zomato.com/dehradun/ds-chicken-licken-race-course/info,29,Quick Bites,4pm to 1030pm(Mon-Sun),Not rated,-,-,Dehradun
Cafe Stereo,300,Fast Food,Dehradun,Chironwali,https://www.zomato.com/dehradun/cafe-stereo-chironwali/info,29,Quick Bites,10am to 10pm(Mon-Sun),Not rated,-,-,Dehradun
Bake My Day,500,"Bakery,Fast Food",Dehradun,Karanpur,https://www.zomato.com/dehradun/bake-my-day-karanpur/info,29,Quick Bites,8am to 10pm(Mon-Sun),Average,2.9,4,Dehradun
Ribble Restro,200,Fast Food,Dehradun,Chironwali,https://www.zomato.com/dehradun/ribble-restro-chironwali/info,29,Quick Bites,1130am to 930pm(Mon-Sun),Not rated,-,-,Dehradun
Fit Meals,400,Healthy Food,Dehradun,Chukkuwala,https://www.zomato.com/dehradun/fit-meals-chukkuwala/info,29,none,9am to 7pm(Mon-Sun),Not rated,-,-,Dehradun
Chadha's Corner,150,"North Indian,Chinese",Dehradun,Chukkuwala,https://www.zomato.com/dehradun/chadhas-corner-chukkuwala/info,29,Quick Bites,10am to 10pm(Mon-Sun),Average,3.2,5,Dehradun
KFC,400,"Burger,Fast Food",Dehradun,Pacific Mall-- Jakhan,https://www.zomato.com/dehradun/kfc-jakhan/info,3,Quick Bites,11am to 11pm(Mon-Sun),Good,3.9,207,Dehradun
Just Cafe,500,"Cafe,Fast Food",Dehradun,Race Course,https://www.zomato.com/dehradun/just-cafe-race-course/info,3,Café,10am to 11pm(Mon-Sun),Very Good,4.0,192,Dehradun
Singh Darbar,150,North Indian,Dehradun,Karanpur,https://www.zomato.com/dehradun/singh-darbar-karanpur/info,3,Quick Bites,9am to 1130pm(Mon-Sun),Average,2.8,227,Dehradun
Subway,500,"Healthy Food,Sandwich,Salad",Dehradun,Race Course,https://www.zomato.com/dehradun/subway-race-course/info,3,Quick Bites,11am to 11pm(Mon-Sun),Very Good,4.1,205,Dehradun
Tirupati Restaurant,600,"South Indian,North Indian,Chinese",Dehradun,Chukkuwala,https://www.zomato.com/dehradun/tirupati-restaurant-chukkuwala/info,3,Casual Dining,8am to 11pm(Mon-Sun),Very Good,4.0,286,Dehradun
Nazim's Kathi Roll,300,"Fast Food,Rolls",Dehradun,Jakhan,https://www.zomato.com/dehradun/nazims-kathi-roll-jakhan/info,3,Casual Dining,11am to 11pm(Mon-Sun),Very Good,4.1,233,Dehradun
Tonic,1000,"North Indian,Chinese",Dehradun,Ballupur,https://www.zomato.com/dehradun/tonic-1-ballupur/info,3,Casual Dining,11am to 11pm(Mon-Sun),Good,3.9,147,Dehradun
Pizza Hut,600,Pizza,Dehradun,Hathibarkala Salwala,https://www.zomato.com/dehradun/pizza-hut-hathibarkala-salwala/info,3,Casual Dining,11am to 11pm(Mon-Sun),Good,3.5,138,Dehradun
Burger Singh,300,"Fast Food,Burger",Dehradun,Balliwala,https://www.zomato.com/dehradun/burger-singh-balliwala/info,3,Quick Bites,11am to 2am(Mon-Sun),Good,3.8,160,Dehradun
Crave More,400,"Cafe,Continental,North Indian,Chinese",Dehradun,Vikas Cinemall-- Indira Nagar,https://www.zomato.com/dehradun/crave-more-balliwala/info,3,Café,11am to 11pm(Mon-Sun),Very Good,4.0,158,Dehradun
Best Buddy's Restro Cafe,1200,"Asian,North Indian,Street Food,Indian,Continental,Italian,Chinese",Dehradun,Karanpur,https://www.zomato.com/dehradun/best-buddys-restro-cafe-karanpur/info,3,Casual Dining,11am to 11pm(Mon-Sun),Very Good,4.3,204,Dehradun
Kwik Bite Centre,300,"Chinese,South Indian,Fast Food",Dehradun,Paltan Bazaar,https://www.zomato.com/dehradun/kwik-bite-centre-paltan-bazaar/info,3,Quick Bites,10am to 11pm(Mon-Sun),Very Good,4.0,264,Dehradun
CnD Bakers & Restaurant,250,Fast Food,Dehradun,Paltan Bazaar,https://www.zomato.com/dehradun/cnd-bakers-restaurant-paltan-bazaar/info,3,Quick Bites,11am to 11pm(Mon-Sun),Good,3.5,146,Dehradun
Mago Veg & Non Veg Restaurant,600,"North Indian,Biryani,Chinese,Beverages",Dehradun,Krishna Nagar,https://www.zomato.com/dehradun/mago-veg-non-veg-restaurant-krishna-nagar/info,3,Casual Dining,930am to 11pm(Mon-Sun),Very Good,4.0,126,Dehradun
Meet Me There,350,Fast Food,Dehradun,Krishna Nagar,https://www.zomato.com/dehradun/meet-me-there-krishna-nagar/info,3,Quick Bites,11am to 11pm(Mon-Sun),Very Good,4.1,94,Dehradun
Matta's Grilled Corner,250,Fast Food,Dehradun,Kaonli,https://www.zomato.com/dehradun/mattas-grilled-corner-kaonli/info,30,Quick Bites,11am to 10pm(Mon-Sun),Not rated,-,-,Dehradun
House of Candy,150,Desserts,Dehradun,Pacific Mall-- Jakhan,https://www.zomato.com/dehradun/house-of-candy-jakhan/info,30,Confectionery,1030am to 930pm(Mon-Sun),Not rated,-,-,Dehradun
Gods Kitchen,250,"Bakery,Desserts",Dehradun,Dharampur,https://www.zomato.com/dehradun/gods-kitchen-dharampur/info,30,Bakery,10am to 10pm(Mon-Sun),Not rated,-,-,Dehradun
Dev Priyam Foods,150,North Indian,Dehradun,Dharampur,https://www.zomato.com/dehradun/dev-priyam-foods-dharampur/info,30,Quick Bites,12noon to 5pm(Mon-Sun),,NEW,NEW,Dehradun
"OPresss - Juice And Joy""",150,"Beverages,Juices",Dehradun,Khurbura,https://www.zomato.com/dehradun/o-presss-juice-and-joy-khurbura/info,30,Beverage Shop,9am to 8pm(Mon-Sun),,NEW,NEW,Dehradun
Adrash Confectioners,200,"Fast Food,Desserts,Bakery",Dehradun,Garhi Cantt,https://www.zomato.com/dehradun/adrash-confectioners-garhi-cantt/info,30,Confectionery,7am to 10pm(Mon-Sun),Average,3.0,4,Dehradun
Mint Chutney,700,"North Indian,Chinese",Dehradun,Majra,https://www.zomato.com/dehradun/mint-chutney-majra/info,30,Casual Dining,730am to 1030am(Mon-Sun),Not rated,-,-,Dehradun
Char Pi,350,North Indian,Dehradun,Race Course,https://www.zomato.com/dehradun/char-pi-race-course/info,30,none,530pm to 930pm(Mon-Sun),Not rated,-,-,Dehradun
Delhi-6 Chat Bhandar,100,"Chinese,Street Food",Dehradun,Jakhan,https://www.zomato.com/dehradun/delhi-6-chat-bhandar-jakhan/info,30,Quick Bites,9am to 9pm(Mon-Sun),,NEW,NEW,Dehradun
Kitchengram,750,"Continental,Chinese,North Indian",Dehradun,Garhi Cantt,https://www.zomato.com/dehradun/kitchengram-garhi-cantt/info,30,Casual Dining,"730am to 1030am,12noon to 1030pm(Mon-Sun)",Not rated,-,-,Dehradun
FZ.Food,0,North Indian,Dehradun,Malsi,https://www.zomato.com/dehradun/fz-food-1-malsi/info,30,none,10am to 5pm(Mon-Sun),Not rated,-,-,Dehradun
New Madrass Cafe,200,North Indian,Dehradun,Dharampur,https://www.zomato.com/dehradun/new-madrass-cafe-dharampur/info,30,Quick Bites,430pm to 930pm(Mon-Sun),Not rated,-,-,Dehradun
Kumar Sweet Shop,200,"Street Food,Fast Food,Mithai",Dehradun,Prem Nagar,https://www.zomato.com/dehradun/kumar-sweet-shop-prem-nagar/info,30,Sweet Shop,830am to 10pm(Mon-Sun),Not rated,-,-,Dehradun
Punjabi Rasoi and Fast Food,150,"North Indian,Fast Food",Dehradun,Prem Nagar,https://www.zomato.com/dehradun/punjabi-rasoi-and-fast-food-prem-nagar/info,30,Dhaba,830am to 10pm(Mon-Sun),Not rated,-,-,Dehradun
Goyal Sweet Shop,200,North Indian,Dehradun,Race Course,https://www.zomato.com/dehradun/goyal-sweet-shop-race-course/info,30,Casual Dining,6am to 1030pm(Mon-Sun),Not rated,-,-,Dehradun
Paradise Fast Food,250,"Fast Food,Chinese",Dehradun,Race Course,https://www.zomato.com/dehradun/paradise-fast-food-race-course/info,31,Quick Bites,1015am to 915pm(Mon-Sun),,NEW,NEW,Dehradun
Spicy Bite,150,Fast Food,Dehradun,Race Course,https://www.zomato.com/dehradun/spicy-bite-race-course/info,31,Quick Bites,10am to 10pm(Mon-Sun),,NEW,NEW,Dehradun
Kreamy Foods And Desserts,0,Ice Cream,Dehradun,Rajpur,https://www.zomato.com/dehradun/kreamy-foods-and-desserts-rajpur/info,31,Quick Bites,10am to 10pm(Mon-Sun),Not rated,-,-,Dehradun
City Spice,250,"North Indian,Chinese",Dehradun,Ballupur,https://www.zomato.com/dehradun/city-spice-ballupur/info,31,Casual Dining,11am to 1030pm(Mon-Sun),Not rated,-,-,Dehradun
Hillway Restaurant,500,North Indian,Dehradun,Rajpur,https://www.zomato.com/dehradun/hillway-restaurant-rajpur/info,31,Quick Bites,"1130am to 10pm(Mon,Wed,Thu,Fri,Sat,Sun)...",Not rated,-,-,Dehradun
Crystal - Hotel Solitaire Express,1000,"North Indian,Chinese",Dehradun,Chukkuwala,https://www.zomato.com/dehradun/crystal-hotel-solitaire-express-chukkuwala/info,31,Casual Dining,"730am to 1030am,1230pm to 330pm,730pm to ...",Not rated,-,-,Dehradun
Kalpvriksh,500,"North Indian,Chinese",Dehradun,Paltan Bazaar,https://www.zomato.com/dehradun/kalpvriksh-paltan-bazaar/info,31,Casual Dining,9am to 9pm(Mon-Sun),Not rated,-,-,Dehradun
The Dim Sum House,550,"Chinese,Continental,Thai,Momos",Dehradun,Malsi,https://www.zomato.com/dehradun/the-dim-sum-house-malsi/info,31,Casual Dining,11am to 11pm(Mon-Sun),Good,3.6,53,Dehradun
Fit Meals Dehradun,300,"Continental,Italian",Dehradun,Rajpur,https://www.zomato.com/dehradun/fit-meals-dehradun-rajpur/info,31,Quick Bites,10am to 8pm(Mon-Sun),Not rated,-,-,Dehradun
Shagun Restaurant,200,"North Indian,Fast Food,Chinese,Burger,Momos",Dehradun,Malsi,https://www.zomato.com/dehradun/shagun-restaurant-malsi/info,31,Quick Bites,11am to 1030pm(Mon-Sun),Not rated,-,-,Dehradun
Softy Corner,500,Ice Cream,Dehradun,Morowala,https://www.zomato.com/dehradun/softy-corner-morowala/info,31,Dessert Parlor,10am to 10pm(Mon-Sun),Not rated,-,-,Dehradun
Mago's Shakes 'N' Foods,200,Beverages,Dehradun,Ballupur,https://www.zomato.com/dehradun/magos-shakes-n-foods-ballupur/info,31,Beverage Shop,12noon to 9pm(Mon-Sun),Not rated,-,-,Dehradun
Punjabi's Tadka & Cafe,400,North Indian,Dehradun,Chironwali,https://www.zomato.com/dehradun/punjabis-tadka-cafe-chironwali/info,31,Casual Dining,11am to 10pm(Mon-Sun),Not rated,-,-,Dehradun
Samadhan,250,"Chinese,Indian,Fast Food",Dehradun,Khurbura,https://www.zomato.com/dehradun/samadhan-khurbura/info,31,Quick Bites,"12noon to 9pm(Mon,Wed,Thu,Fri,Sat,Sun)...",Not rated,-,-,Dehradun
Take Away,300,Fast Food,Dehradun,Karanpur,https://www.zomato.com/dehradun/take-away-karanpur/info,31,Quick Bites,1030am to 9pm(Mon-Sun),Not rated,-,-,Dehradun
Tastyland.in,400,"Chinese,North Indian,Continental",Dehradun,Chironwali,https://www.zomato.com/dehradun/tastyland-in-chironwali/info,32,Food Court,11am to 1030pm(Mon-Sun),,NEW,NEW,Dehradun
Chinese Food Corner,200,Chinese,Dehradun,Garhi Cantt,https://www.zomato.com/dehradun/chinese-food-corner-garhi-cantt/info,32,Quick Bites,9am to 10pm(Mon-Sun),Not rated,-,-,Dehradun
Chai Ka Nukkad,150,"North Indian,Chinese,Beverages",Dehradun,Malsi,https://www.zomato.com/dehradun/chai-ka-nukkad-malsi/info,32,Quick Bites,8am to 10pm(Mon-Sun),,NEW,NEW,Dehradun
Indibelli Tiffin Service,200,North Indian,Dehradun,Ballupur,https://www.zomato.com/dehradun/indibelli-tiffin-service-ballupur/info,32,none,9am to 6pm(Mon-Sun),Not rated,-,-,Dehradun
Lalit Restaurant,450,"North Indian,Chinese",Dehradun,Garhi Cantt,https://www.zomato.com/dehradun/lalit-restaurant-garhi-cantt/info,32,Quick Bites,830am to 1030pm(Mon-Sun),Not rated,-,-,Dehradun
The Blue Moon Family Restaurant,300,"North Indian,Chinese",Dehradun,Ballupur,https://www.zomato.com/dehradun/the-blue-moon-family-restaurant-ballupur/info,32,Quick Bites,11am to 10pm(Mon-Sun),Not rated,-,-,Dehradun
Hotel Aketa,400,North Indian,Dehradun,Hathibarkala Salwala,https://www.zomato.com/dehradun/hotel-aketa-hathibarkala-salwala/info,32,Quick Bites,7am to 10pm(Mon-Sun),,NEW,NEW,Dehradun
Sky Hub,1000,"Chinese,North Indian",Dehradun,Dharampur,https://www.zomato.com/dehradun/sky-hub-dharampur/info,32,Casual Dining,(Mon-Sun),Not rated,-,-,Dehradun
Shiva Chole Bhature,150,"North Indian,Fast Food",Dehradun,Paltan Bazaar,https://www.zomato.com/dehradun/shiva-chole-bhature-1-paltan-bazaar/info,32,Casual Dining,9am to 6pm(Mon-Sun),Not rated,-,-,Dehradun
Doon Memories Bakers and  Cafe,300,Bakery,Dehradun,Chukkuwala,https://www.zomato.com/dehradun/doon-memories-bakers-and-cafe-chukkuwala/info,32,Quick Bites,10am to 830pm(Mon-Sun),Not rated,-,-,Dehradun
Hotel Doon Cafe & Restaurant,300,North Indian,Dehradun,Kaonli,https://www.zomato.com/dehradun/hotel-doon-cafe-restaurant-kaonli/info,32,Quick Bites,11am to 10pm(Mon-Sun),Not rated,-,-,Dehradun
Unique family Restaurant,250,Indian,Dehradun,Raipur,https://www.zomato.com/dehradun/unique-family-restaurant-raipur/info,32,Quick Bites,11am to 10pm(Mon-Sun),Not rated,-,-,Dehradun
Savoy Grill,450,"South Indian,Chinese,North Indian",Dehradun,Prem Nagar,https://www.zomato.com/dehradun/savoy-grill-prem-nagar/info,32,Casual Dining,9am to 10pm(Mon-Sun),Not rated,-,-,Dehradun
Grillz Inn,800,,Dehradun,Ballupur,https://www.zomato.com/dehradun/grillz-inn-1-ballupur/info,32,Quick Bites,10am to 10pm(Mon-Sun),Not rated,-,-,Dehradun
